RecordDate,Max. CovidPositives
7/7/2021,3894472
7/7/2022,10261967
7/8/2020,303368
7/8/2021,3896976
7/8/2022,10273933
7/9/2020,311526
7/9/2021,3898300
7/9/2022,10274686
8/1/2020,515543
8/1/2021,4055076
8/1/2022,10754544
8/10/2020,580769
8/10/2021,4161113
8/10/2022,10875286
8/11/2020,591006
8/11/2021,4172305
8/11/2022,10897398
8/12/2020,599328
8/12/2021,4186677
8/12/2022,10910888
8/13/2020,605436
8/13/2021,4202403
8/13/2022,10911296
8/14/2020,619801
8/14/2021,4215569
8/14/2022,10911732
8/15/2020,627458
8/15/2021,4226281
8/15/2022,10943525
8/16/2020,633581
8/16/2021,4239644
8/16/2022,10955047
8/17/2020,638248
8/17/2021,4255007
8/17/2022,10960577
8/18/2020,644713
8/18/2021,4268836
8/18/2022,10980059
8/19/2020,650705
8/19/2021,4284241
8/19/2022,10988297
8/2/2020,521114
8/2/2021,4064889
8/2/2022,10771506
8/20/2020,656276
8/20/2021,4309627
8/20/2022,10988717
8/21/2020,662858
8/21/2021,4323642
8/21/2022,10989124
8/22/2020,669330
8/22/2021,4333425
8/22/2022,11021065
8/23/2020,674344
8/23/2021,4347481
8/23/2022,11031327
8/24/2020,678831
8/24/2021,4360704
8/24/2022,11035988
8/25/2020,684944
8/25/2021,4373928
8/25/2022,11053518
8/26/2020,689300
8/26/2021,4388510
8/26/2022,11064387
8/27/2020,694735
8/27/2021,4404807
8/27/2022,11064750
8/28/2020,699733
8/28/2021,4419212
8/28/2022,11065108
8/29/2020,705610
8/29/2021,4430561
8/29/2022,11088709
8/3/2020,525720
8/3/2021,4075002
8/3/2022,10779117
8/30/2020,709746
8/30/2021,4443432
8/30/2022,11097084
8/31/2020,713644
8/31/2021,4467709
8/31/2022,11100962
8/4/2020,531883
8/4/2021,4085255
8/4/2022,10805873
8/5/2020,537626
8/5/2021,4100408
8/5/2022,10820747
8/6/2020,546010
8/6/2021,4114388
8/6/2022,10821272
8/7/2020,553697
8/7/2021,4127135
8/7/2022,10821742
8/8/2020,561956
8/8/2021,4136743
8/8/2022,10857901
8/9/2020,569313
8/9/2021,4149824
8/9/2022,10862157
9/1/2020,717892
9/1/2021,4479583
9/1/2022,11116696
9/10/2020,752275
9/10/2021,4575727
9/10/2022,11170505
9/11/2020,756521
9/11/2021,4584210
9/11/2022,11170680
9/12/2020,761084
9/12/2021,4590468
9/12/2022,11175676
9/13/2020,763934
9/13/2021,4605956
9/13/2022,11191286
9/14/2020,766400
9/14/2021,4615039
9/14/2022,11193361
9/15/2020,769415
9/15/2021,4623646
9/15/2022,11200679
9/16/2020,772838
9/16/2021,4633955
9/16/2022,11203557
9/17/2020,776614
9/17/2021,4643962
9/17/2022,11203716
9/18/2020,780948
9/18/2021,4652503
9/18/2022,11203897
9/19/2020,785095
9/19/2021,4658384
9/19/2022,11207745
9/2/2020,723158
9/2/2021,4492188
9/2/2022,11126050
9/20/2020,788330
9/20/2021,4666921
9/20/2022,11224277
9/21/2020,791172
9/21/2021,4674626
9/21/2022,11225960
9/22/2020,794466
9/22/2021,4682104
9/22/2022,11234344
9/23/2020,797833
9/23/2021,4689652
9/23/2022,11237112
9/24/2020,801454
9/24/2021,4692311
9/24/2022,11237277
9/25/2020,805711
9/25/2021,4694107
9/25/2022,11237433
9/26/2020,809749
9/26/2021,4711742
9/26/2022,11240958
9/27/2020,812571
9/27/2021,4719366
9/27/2022,11257602
9/28/2020,814883
9/28/2021,4726604
9/28/2022,11259190
9/29/2020,818277
9/29/2021,4733332
9/29/2022,11266865
9/3/2020,728243
9/3/2021,4504720
